date,city,fuel_type,fuel_price_usd,fuel_price_sos,station_type
2024-01-30,Mogadishu,Petrol,0.852,512.83,Private Station
2024-01-30,Mogadishu,Petrol,0.809,487.19,Government Station
2024-01-30,Mogadishu,Petrol,0.937,564.11,Black Market
2024-01-31,Mogadishu,Petrol,0.893,548.93,Private Station
2024-01-31,Mogadishu,Petrol,0.848,521.48,Government Station
2024-01-31,Mogadishu,Petrol,0.982,603.82,Black Market
2024-02-01,Mogadishu,Petrol,0.896,538.41,Private Station
2024-02-01,Mogadishu,Petrol,0.851,511.49,Government Station
2024-02-01,Mogadishu,Petrol,0.985,592.25,Black Market
2024-02-02,Mogadishu,Petrol,0.873,525.86,Private Station
2024-02-02,Mogadishu,Petrol,0.83,499.57,Government Station
2024-02-02,Mogadishu,Petrol,0.961,578.45,Black Market
2024-02-03,Mogadishu,Petrol,0.858,520.75,Private Station
2024-02-03,Mogadishu,Petrol,0.815,494.71,Government Station
2024-02-03,Mogadishu,Petrol,0.943,572.82,Black Market
2024-02-04,Mogadishu,Petrol,0.88,543.53,Private Station
2024-02-04,Mogadishu,Petrol,0.836,516.36,Government Station
2024-02-04,Mogadishu,Petrol,0.968,597.88,Black Market
2024-02-05,Mogadishu,Petrol,0.855,520.88,Private Station
2024-02-05,Mogadishu,Petrol,0.812,494.84,Government Station
2024-02-05,Mogadishu,Petrol,0.941,572.97,Black Market
2024-02-06,Mogadishu,Petrol,0.846,522.87,Private Station
2024-02-06,Mogadishu,Petrol,0.804,496.73,Government Station
2024-02-06,Mogadishu,Petrol,0.931,575.16,Black Market
2024-02-07,Mogadishu,Petrol,0.859,517.85,Private Station
2024-02-07,Mogadishu,Petrol,0.816,491.96,Government Station
2024-02-07,Mogadishu,Petrol,0.945,569.64,Black Market
2024-02-08,Mogadishu,Petrol,0.862,522.39,Private Station
2024-02-08,Mogadishu,Petrol,0.819,496.27,Government Station
2024-02-08,Mogadishu,Petrol,0.948,574.63,Black Market
2024-02-09,Mogadishu,Petrol,0.865,528.59,Private Station
2024-02-09,Mogadishu,Petrol,0.822,502.16,Government Station
2024-02-09,Mogadishu,Petrol,0.952,581.45,Black Market
2024-02-10,Mogadishu,Petrol,0.893,547.03,Private Station
2024-02-10,Mogadishu,Petrol,0.849,519.68,Government Station
2024-02-10,Mogadishu,Petrol,0.982,601.73,Black Market
2024-02-11,Mogadishu,Petrol,0.859,529.75,Private Station
2024-02-11,Mogadishu,Petrol,0.816,503.27,Government Station
2024-02-11,Mogadishu,Petrol,0.945,582.73,Black Market
2024-02-12,Mogadishu,Petrol,0.873,535.52,Private Station
2024-02-12,Mogadishu,Petrol,0.829,508.74,Government Station
2024-02-12,Mogadishu,Petrol,0.96,589.07,Black Market
2024-02-13,Mogadishu,Petrol,0.91,559.38,Private Station
2024-02-13,Mogadishu,Petrol,0.864,531.42,Government Station
2024-02-13,Mogadishu,Petrol,1.001,615.32,Black Market
2024-02-14,Mogadishu,Petrol,0.908,557.45,Private Station
2024-02-14,Mogadishu,Petrol,0.863,529.58,Government Station
2024-02-14,Mogadishu,Petrol,0.999,613.2,Black Market
2024-02-15,Mogadishu,Petrol,0.906,558.74,Private Station
2024-02-15,Mogadishu,Petrol,0.86,530.8,Government Station
2024-02-15,Mogadishu,Petrol,0.996,614.62,Black Market
2024-02-16,Mogadishu,Petrol,0.916,553.7,Private Station
2024-02-16,Mogadishu,Petrol,0.87,526.01,Government Station
2024-02-16,Mogadishu,Petrol,1.008,609.07,Black Market
2024-02-17,Mogadishu,Petrol,0.92,559.57,Private Station
2024-02-17,Mogadishu,Petrol,0.874,531.59,Government Station
2024-02-17,Mogadishu,Petrol,1.012,615.52,Black Market
2024-02-18,Mogadishu,Petrol,0.938,567.88,Private Station
2024-02-18,Mogadishu,Petrol,0.891,539.49,Government Station
2024-02-18,Mogadishu,Petrol,1.031,624.67,Black Market
2024-02-19,Mogadishu,Petrol,0.939,572.16,Private Station
2024-02-19,Mogadishu,Petrol,0.892,543.55,Government Station
2024-02-19,Mogadishu,Petrol,1.033,629.37,Black Market
2024-02-20,Mogadishu,Petrol,0.946,583.67,Private Station
2024-02-20,Mogadishu,Petrol,0.898,554.49,Government Station
2024-02-20,Mogadishu,Petrol,1.04,642.04,Black Market
2024-02-21,Mogadishu,Petrol,0.924,559.8,Private Station
2024-02-21,Mogadishu,Petrol,0.877,531.81,Government Station
2024-02-21,Mogadishu,Petrol,1.016,615.78,Black Market
2024-02-22,Mogadishu,Petrol,0.93,562.84,Private Station
2024-02-22,Mogadishu,Petrol,0.884,534.7,Government Station
2024-02-22,Mogadishu,Petrol,1.023,619.12,Black Market
2024-02-23,Mogadishu,Petrol,0.933,563.3,Private Station
2024-02-23,Mogadishu,Petrol,0.887,535.14,Government Station
2024-02-23,Mogadishu,Petrol,1.027,619.63,Black Market
2024-02-24,Mogadishu,Petrol,0.971,589.99,Private Station
2024-02-24,Mogadishu,Petrol,0.922,560.49,Government Station
2024-02-24,Mogadishu,Petrol,1.068,648.98,Black Market
2024-02-25,Mogadishu,Petrol,0.992,595.78,Private Station
2024-02-25,Mogadishu,Petrol,0.942,566.0,Government Station
2024-02-25,Mogadishu,Petrol,1.091,655.36,Black Market
2024-02-26,Mogadishu,Petrol,1.002,606.81,Private Station
2024-02-26,Mogadishu,Petrol,0.952,576.47,Government Station
2024-02-26,Mogadishu,Petrol,1.103,667.49,Black Market
2024-02-27,Mogadishu,Petrol,1.017,620.17,Private Station
2024-02-27,Mogadishu,Petrol,0.966,589.17,Government Station
2024-02-27,Mogadishu,Petrol,1.118,682.19,Black Market
2024-02-28,Mogadishu,Petrol,1.022,623.88,Private Station
2024-02-28,Mogadishu,Petrol,0.971,592.69,Government Station
2024-02-28,Mogadishu,Petrol,1.124,686.27,Black Market
2024-02-29,Mogadishu,Petrol,1.026,626.28,Private Station
2024-02-29,Mogadishu,Petrol,0.975,594.96,Government Station
2024-02-29,Mogadishu,Petrol,1.129,688.9,Black Market
2024-03-01,Mogadishu,Petrol,1.045,633.24,Private Station
2024-03-01,Mogadishu,Petrol,0.993,601.58,Government Station
2024-03-01,Mogadishu,Petrol,1.149,696.57,Black Market
2024-03-02,Mogadishu,Petrol,1.038,634.61,Private Station
2024-03-02,Mogadishu,Petrol,0.986,602.88,Government Station
2024-03-02,Mogadishu,Petrol,1.141,698.07,Black Market
2024-03-03,Mogadishu,Petrol,1.033,624.21,Private Station
2024-03-03,Mogadishu,Petrol,0.982,593.0,Government Station
2024-03-03,Mogadishu,Petrol,1.137,686.63,Black Market
2024-03-04,Mogadishu,Petrol,1.007,616.96,Private Station
2024-03-04,Mogadishu,Petrol,0.957,586.12,Government Station
2024-03-04,Mogadishu,Petrol,1.108,678.66,Black Market
2024-03-05,Mogadishu,Petrol,1.008,605.21,Private Station
2024-03-05,Mogadishu,Petrol,0.957,574.95,Government Station
2024-03-05,Mogadishu,Petrol,1.109,665.73,Black Market
2024-03-06,Mogadishu,Petrol,1.013,617.59,Private Station
2024-03-06,Mogadishu,Petrol,0.963,586.71,Government Station
2024-03-06,Mogadishu,Petrol,1.115,679.35,Black Market
2024-03-07,Mogadishu,Petrol,1.027,624.46,Private Station
2024-03-07,Mogadishu,Petrol,0.975,593.24,Government Station
2024-03-07,Mogadishu,Petrol,1.129,686.9,Black Market
2024-03-08,Mogadishu,Petrol,1.008,618.28,Private Station
2024-03-08,Mogadishu,Petrol,0.958,587.36,Government Station
2024-03-08,Mogadishu,Petrol,1.109,680.1,Black Market
2024-03-09,Mogadishu,Petrol,1.016,625.67,Private Station
2024-03-09,Mogadishu,Petrol,0.965,594.38,Government Station
2024-03-09,Mogadishu,Petrol,1.118,688.23,Black Market
2024-03-10,Mogadishu,Petrol,1.036,636.93,Private Station
2024-03-10,Mogadishu,Petrol,0.984,605.09,Government Station
2024-03-10,Mogadishu,Petrol,1.139,700.63,Black Market
2024-03-11,Mogadishu,Petrol,1.011,625.7,Private Station
2024-03-11,Mogadishu,Petrol,0.96,594.42,Government Station
2024-03-11,Mogadishu,Petrol,1.112,688.27,Black Market
2024-03-12,Mogadishu,Petrol,1.0,612.29,Private Station
2024-03-12,Mogadishu,Petrol,0.95,581.67,Government Station
2024-03-12,Mogadishu,Petrol,1.1,673.52,Black Market
2024-03-13,Mogadishu,Petrol,1.032,625.46,Private Station
2024-03-13,Mogadishu,Petrol,0.98,594.19,Government Station
2024-03-13,Mogadishu,Petrol,1.135,688.01,Black Market
2024-03-14,Mogadishu,Petrol,1.029,621.05,Private Station
2024-03-14,Mogadishu,Petrol,0.978,590.0,Government Station
2024-03-14,Mogadishu,Petrol,1.132,683.16,Black Market
2024-03-15,Mogadishu,Petrol,1.082,666.87,Private Station
2024-03-15,Mogadishu,Petrol,1.028,633.53,Government Station
2024-03-15,Mogadishu,Petrol,1.19,733.56,Black Market
2024-03-16,Mogadishu,Petrol,1.119,681.78,Private Station
2024-03-16,Mogadishu,Petrol,1.063,647.69,Government Station
2024-03-16,Mogadishu,Petrol,1.231,749.96,Black Market
2024-03-17,Mogadishu,Petrol,1.115,682.11,Private Station
2024-03-17,Mogadishu,Petrol,1.06,648.0,Government Station
2024-03-17,Mogadishu,Petrol,1.227,750.32,Black Market
2024-03-18,Mogadishu,Petrol,1.142,690.14,Private Station
2024-03-18,Mogadishu,Petrol,1.085,655.64,Government Station
2024-03-18,Mogadishu,Petrol,1.257,759.16,Black Market
2024-03-19,Mogadishu,Petrol,1.171,707.38,Private Station
2024-03-19,Mogadishu,Petrol,1.112,672.01,Government Station
2024-03-19,Mogadishu,Petrol,1.288,778.12,Black Market
2024-03-20,Mogadishu,Petrol,1.172,722.17,Private Station
2024-03-20,Mogadishu,Petrol,1.113,686.06,Government Station
2024-03-20,Mogadishu,Petrol,1.289,794.39,Black Market
2024-03-21,Mogadishu,Petrol,1.186,717.87,Private Station
2024-03-21,Mogadishu,Petrol,1.127,681.98,Government Station
2024-03-21,Mogadishu,Petrol,1.305,789.66,Black Market
2024-03-22,Mogadishu,Petrol,1.185,726.27,Private Station
2024-03-22,Mogadishu,Petrol,1.125,689.96,Government Station
2024-03-22,Mogadishu,Petrol,1.303,798.9,Black Market
2024-03-23,Mogadishu,Petrol,1.173,714.68,Private Station
2024-03-23,Mogadishu,Petrol,1.114,678.95,Government Station
2024-03-23,Mogadishu,Petrol,1.29,786.15,Black Market
2024-03-24,Mogadishu,Petrol,1.2,729.69,Private Station
2024-03-24,Mogadishu,Petrol,1.14,693.21,Government Station
2024-03-24,Mogadishu,Petrol,1.32,802.66,Black Market
2024-03-25,Mogadishu,Petrol,1.2,724.4,Private Station
2024-03-25,Mogadishu,Petrol,1.14,688.18,Government Station
2024-03-25,Mogadishu,Petrol,1.32,796.84,Black Market
2024-03-26,Mogadishu,Petrol,1.2,728.77,Private Station
2024-03-26,Mogadishu,Petrol,1.14,692.34,Government Station
2024-03-26,Mogadishu,Petrol,1.32,801.65,Black Market
2024-03-27,Mogadishu,Petrol,1.2,742.18,Private Station
2024-03-27,Mogadishu,Petrol,1.14,705.07,Government Station
2024-03-27,Mogadishu,Petrol,1.32,816.4,Black Market
2024-03-28,Mogadishu,Petrol,1.2,741.16,Private Station
2024-03-28,Mogadishu,Petrol,1.14,704.1,Government Station
2024-03-28,Mogadishu,Petrol,1.32,815.28,Black Market
2024-03-29,Mogadishu,Petrol,1.2,737.93,Private Station
2024-03-29,Mogadishu,Petrol,1.14,701.04,Government Station
2024-03-29,Mogadishu,Petrol,1.32,811.73,Black Market
2024-03-30,Mogadishu,Petrol,1.173,725.39,Private Station
2024-03-30,Mogadishu,Petrol,1.114,689.12,Government Station
2024-03-30,Mogadishu,Petrol,1.29,797.93,Black Market
2024-03-31,Mogadishu,Petrol,1.169,722.34,Private Station
2024-03-31,Mogadishu,Petrol,1.11,686.23,Government Station
2024-03-31,Mogadishu,Petrol,1.286,794.58,Black Market
2024-04-01,Mogadishu,Petrol,1.139,691.52,Private Station
2024-04-01,Mogadishu,Petrol,1.082,656.94,Government Station
2024-04-01,Mogadishu,Petrol,1.253,760.67,Black Market
2024-04-02,Mogadishu,Petrol,1.167,718.63,Private Station
2024-04-02,Mogadishu,Petrol,1.108,682.7,Government Station
2024-04-02,Mogadishu,Petrol,1.283,790.49,Black Market
2024-04-03,Mogadishu,Petrol,1.175,710.72,Private Station
2024-04-03,Mogadishu,Petrol,1.116,675.18,Government Station
2024-04-03,Mogadishu,Petrol,1.292,781.79,Black Market
2024-04-04,Mogadishu,Petrol,1.162,718.23,Private Station
2024-04-04,Mogadishu,Petrol,1.104,682.32,Government Station
2024-04-04,Mogadishu,Petrol,1.278,790.06,Black Market
2024-04-05,Mogadishu,Petrol,1.144,709.36,Private Station
2024-04-05,Mogadishu,Petrol,1.087,673.89,Government Station
2024-04-05,Mogadishu,Petrol,1.259,780.3,Black Market
2024-04-06,Mogadishu,Petrol,1.152,691.47,Private Station
2024-04-06,Mogadishu,Petrol,1.094,656.9,Government Station
2024-04-06,Mogadishu,Petrol,1.267,760.62,Black Market
2024-04-07,Mogadishu,Petrol,1.193,732.29,Private Station
2024-04-07,Mogadishu,Petrol,1.133,695.67,Government Station
2024-04-07,Mogadishu,Petrol,1.312,805.51,Black Market
2024-04-08,Mogadishu,Petrol,1.2,734.56,Private Station
2024-04-08,Mogadishu,Petrol,1.14,697.83,Government Station
2024-04-08,Mogadishu,Petrol,1.32,808.02,Black Market
2024-04-09,Mogadishu,Petrol,1.184,721.54,Private Station
2024-04-09,Mogadishu,Petrol,1.124,685.47,Government Station
2024-04-09,Mogadishu,Petrol,1.302,793.7,Black Market
2024-04-10,Mogadishu,Petrol,1.18,724.78,Private Station
2024-04-10,Mogadishu,Petrol,1.121,688.54,Government Station
2024-04-10,Mogadishu,Petrol,1.298,797.26,Black Market
2024-04-11,Mogadishu,Petrol,1.2,736.21,Private Station
2024-04-11,Mogadishu,Petrol,1.14,699.4,Government Station
2024-04-11,Mogadishu,Petrol,1.32,809.83,Black Market
2024-04-12,Mogadishu,Petrol,1.2,737.48,Private Station
2024-04-12,Mogadishu,Petrol,1.14,700.61,Government Station
2024-04-12,Mogadishu,Petrol,1.32,811.23,Black Market
2024-04-13,Mogadishu,Petrol,1.2,725.75,Private Station
2024-04-13,Mogadishu,Petrol,1.14,689.46,Government Station
2024-04-13,Mogadishu,Petrol,1.32,798.32,Black Market
2024-04-14,Mogadishu,Petrol,1.178,720.3,Private Station
2024-04-14,Mogadishu,Petrol,1.119,684.29,Government Station
2024-04-14,Mogadishu,Petrol,1.295,792.33,Black Market
2024-04-15,Mogadishu,Petrol,1.185,728.09,Private Station
2024-04-15,Mogadishu,Petrol,1.126,691.68,Government Station
2024-04-15,Mogadishu,Petrol,1.304,800.89,Black Market
2024-04-16,Mogadishu,Petrol,1.2,739.8,Private Station
2024-04-16,Mogadishu,Petrol,1.14,702.81,Government Station
2024-04-16,Mogadishu,Petrol,1.32,813.78,Black Market
2024-04-17,Mogadishu,Petrol,1.178,708.94,Private Station
2024-04-17,Mogadishu,Petrol,1.119,673.5,Government Station
2024-04-17,Mogadishu,Petrol,1.296,779.84,Black Market
2024-04-18,Mogadishu,Petrol,1.169,704.18,Private Station
2024-04-18,Mogadishu,Petrol,1.11,668.97,Government Station
2024-04-18,Mogadishu,Petrol,1.286,774.59,Black Market
2024-04-19,Mogadishu,Petrol,1.2,733.1,Private Station
2024-04-19,Mogadishu,Petrol,1.14,696.44,Government Station
2024-04-19,Mogadishu,Petrol,1.32,806.41,Black Market
2024-04-20,Mogadishu,Petrol,1.2,721.03,Private Station
2024-04-20,Mogadishu,Petrol,1.14,684.98,Government Station
2024-04-20,Mogadishu,Petrol,1.32,793.13,Black Market
2024-04-21,Mogadishu,Petrol,1.2,722.37,Private Station
2024-04-21,Mogadishu,Petrol,1.14,686.25,Government Station
2024-04-21,Mogadishu,Petrol,1.32,794.6,Black Market
2024-04-22,Mogadishu,Petrol,1.2,737.52,Private Station
2024-04-22,Mogadishu,Petrol,1.14,700.64,Government Station
2024-04-22,Mogadishu,Petrol,1.32,811.27,Black Market
2024-04-23,Mogadishu,Petrol,1.2,726.22,Private Station
2024-04-23,Mogadishu,Petrol,1.14,689.91,Government Station
2024-04-23,Mogadishu,Petrol,1.32,798.84,Black Market
2024-04-24,Mogadishu,Petrol,1.2,732.6,Private Station
2024-04-24,Mogadishu,Petrol,1.14,695.97,Government Station
2024-04-24,Mogadishu,Petrol,1.32,805.86,Black Market
2024-04-25,Mogadishu,Petrol,1.2,721.67,Private Station
2024-04-25,Mogadishu,Petrol,1.14,685.58,Government Station
2024-04-25,Mogadishu,Petrol,1.32,793.83,Black Market
2024-04-26,Mogadishu,Petrol,1.199,743.36,Private Station
2024-04-26,Mogadishu,Petrol,1.139,706.19,Government Station
2024-04-26,Mogadishu,Petrol,1.319,817.69,Black Market
2024-04-27,Mogadishu,Petrol,1.2,725.5,Private Station
2024-04-27,Mogadishu,Petrol,1.14,689.22,Government Station
2024-04-27,Mogadishu,Petrol,1.32,798.05,Black Market
2024-04-28,Mogadishu,Petrol,1.184,725.91,Private Station
2024-04-28,Mogadishu,Petrol,1.125,689.62,Government Station
2024-04-28,Mogadishu,Petrol,1.302,798.51,Black Market
2024-04-29,Mogadishu,Petrol,1.2,725.05,Private Station
2024-04-29,Mogadishu,Petrol,1.14,688.8,Government Station
2024-04-29,Mogadishu,Petrol,1.32,797.55,Black Market
2024-04-30,Mogadishu,Petrol,1.2,741.48,Private Station
2024-04-30,Mogadishu,Petrol,1.14,704.41,Government Station
2024-04-30,Mogadishu,Petrol,1.32,815.63,Black Market
2024-05-01,Mogadishu,Petrol,1.2,740.17,Private Station
2024-05-01,Mogadishu,Petrol,1.14,703.16,Government Station
2024-05-01,Mogadishu,Petrol,1.32,814.19,Black Market
2024-05-02,Mogadishu,Petrol,1.2,725.01,Private Station
2024-05-02,Mogadishu,Petrol,1.14,688.76,Government Station
2024-05-02,Mogadishu,Petrol,1.32,797.51,Black Market
2024-05-03,Mogadishu,Petrol,1.2,740.62,Private Station
2024-05-03,Mogadishu,Petrol,1.14,703.59,Government Station
2024-05-03,Mogadishu,Petrol,1.32,814.69,Black Market
2024-05-04,Mogadishu,Petrol,1.178,711.95,Private Station
2024-05-04,Mogadishu,Petrol,1.119,676.35,Government Station
2024-05-04,Mogadishu,Petrol,1.296,783.14,Black Market
2024-05-05,Mogadishu,Petrol,1.197,732.07,Private Station
2024-05-05,Mogadishu,Petrol,1.137,695.47,Government Station
2024-05-05,Mogadishu,Petrol,1.317,805.28,Black Market
2024-05-06,Mogadishu,Petrol,1.19,726.83,Private Station
2024-05-06,Mogadishu,Petrol,1.131,690.49,Government Station
2024-05-06,Mogadishu,Petrol,1.309,799.52,Black Market
2024-05-07,Mogadishu,Petrol,1.196,726.83,Private Station
2024-05-07,Mogadishu,Petrol,1.136,690.49,Government Station
2024-05-07,Mogadishu,Petrol,1.316,799.52,Black Market
2024-05-08,Mogadishu,Petrol,1.199,734.3,Private Station
2024-05-08,Mogadishu,Petrol,1.139,697.59,Government Station
2024-05-08,Mogadishu,Petrol,1.319,807.73,Black Market
2024-05-09,Mogadishu,Petrol,1.2,730.48,Private Station
2024-05-09,Mogadishu,Petrol,1.14,693.95,Government Station
2024-05-09,Mogadishu,Petrol,1.32,803.52,Black Market
2024-05-10,Mogadishu,Petrol,1.185,711.5,Private Station
2024-05-10,Mogadishu,Petrol,1.125,675.93,Government Station
2024-05-10,Mogadishu,Petrol,1.303,782.65,Black Market
2024-05-11,Mogadishu,Petrol,1.188,732.82,Private Station
2024-05-11,Mogadishu,Petrol,1.128,696.18,Government Station
2024-05-11,Mogadishu,Petrol,1.307,806.1,Black Market
2024-05-12,Mogadishu,Petrol,1.2,742.74,Private Station
2024-05-12,Mogadishu,Petrol,1.14,705.6,Government Station
2024-05-12,Mogadishu,Petrol,1.32,817.02,Black Market
2024-05-13,Mogadishu,Petrol,1.19,727.66,Private Station
2024-05-13,Mogadishu,Petrol,1.131,691.28,Government Station
2024-05-13,Mogadishu,Petrol,1.309,800.43,Black Market
2024-05-14,Mogadishu,Petrol,1.174,726.13,Private Station
2024-05-14,Mogadishu,Petrol,1.115,689.82,Government Station
2024-05-14,Mogadishu,Petrol,1.291,798.74,Black Market
2024-05-15,Mogadishu,Petrol,1.174,720.31,Private Station
2024-05-15,Mogadishu,Petrol,1.115,684.3,Government Station
2024-05-15,Mogadishu,Petrol,1.291,792.35,Black Market
2024-05-16,Mogadishu,Petrol,1.171,722.41,Private Station
2024-05-16,Mogadishu,Petrol,1.112,686.29,Government Station
2024-05-16,Mogadishu,Petrol,1.288,794.65,Black Market
2024-05-17,Mogadishu,Petrol,1.2,737.13,Private Station
2024-05-17,Mogadishu,Petrol,1.14,700.27,Government Station
2024-05-17,Mogadishu,Petrol,1.32,810.84,Black Market
2024-05-18,Mogadishu,Petrol,1.2,730.32,Private Station
2024-05-18,Mogadishu,Petrol,1.14,693.81,Government Station
2024-05-18,Mogadishu,Petrol,1.32,803.36,Black Market
2024-05-19,Mogadishu,Petrol,1.183,709.76,Private Station
2024-05-19,Mogadishu,Petrol,1.124,674.27,Government Station
2024-05-19,Mogadishu,Petrol,1.301,780.74,Black Market
2024-05-20,Mogadishu,Petrol,1.192,727.13,Private Station
2024-05-20,Mogadishu,Petrol,1.132,690.77,Government Station
2024-05-20,Mogadishu,Petrol,1.311,799.84,Black Market
2024-05-21,Mogadishu,Petrol,1.2,728.07,Private Station
2024-05-21,Mogadishu,Petrol,1.14,691.67,Government Station
2024-05-21,Mogadishu,Petrol,1.32,800.88,Black Market
2024-05-22,Mogadishu,Petrol,1.2,743.93,Private Station
2024-05-22,Mogadishu,Petrol,1.14,706.73,Government Station
2024-05-22,Mogadishu,Petrol,1.32,818.32,Black Market
2024-05-23,Mogadishu,Petrol,1.172,712.78,Private Station
2024-05-23,Mogadishu,Petrol,1.113,677.14,Government Station
2024-05-23,Mogadishu,Petrol,1.289,784.06,Black Market
2024-05-24,Mogadishu,Petrol,1.195,722.59,Private Station
2024-05-24,Mogadishu,Petrol,1.135,686.46,Government Station
2024-05-24,Mogadishu,Petrol,1.314,794.84,Black Market
