date,city,usd_sos_rate,daily_change_percent,market_type,source
2024-03-24,Mogadishu,567.93,0.058,black/official,Black Market
2024-03-25,Mogadishu,570.98,0.818,black/official,Black Market
2024-03-26,Mogadishu,570.22,-0.145,black/official,Black Market
2024-03-27,Mogadishu,570.21,-0.165,black/official,Black Market
2024-03-28,Mogadishu,573.45,0.548,black/official,Black Market
2024-03-29,Mogadishu,572.18,-0.254,black/official,Black Market
2024-03-30,Mogadishu,578.54,0.833,black/official,Black Market
2024-03-31,Mogadishu,574.65,-0.7,black/official,Black Market
2024-04-01,Mogadishu,572.35,-0.155,black/official,Black Market
2024-04-02,Mogadishu,574.1,0.177,black/official,Black Market
2024-04-03,Mogadishu,573.17,-0.116,black/official,Black Market
2024-04-04,Mogadishu,577.06,0.616,black/official,Black Market
2024-04-05,Mogadishu,579.22,0.131,black/official,Black Market
2024-04-06,Mogadishu,575.78,-0.525,black/official,Black Market
2024-04-07,Mogadishu,576.91,-0.082,black/official,Black Market
2024-04-08,Mogadishu,569.56,-1.125,black/official,Black Market
2024-04-09,Mogadishu,564.47,-0.701,black/official,Black Market
2024-04-10,Mogadishu,563.71,-0.155,black/official,Black Market
2024-04-11,Mogadishu,565.83,0.021,black/official,Black Market
2024-04-12,Mogadishu,564.27,-0.346,black/official,Black Market
2024-04-13,Mogadishu,563.93,-0.071,black/official,Black Market
2024-04-14,Mogadishu,564.72,0.041,black/official,Black Market
2024-04-15,Mogadishu,565.3,-0.217,black/official,Black Market
2024-04-16,Mogadishu,565.5,-0.053,black/official,Black Market
2024-04-17,Mogadishu,564.71,-0.172,black/official,Black Market
2024-04-18,Mogadishu,564.26,-0.208,black/official,Black Market
2024-04-19,Mogadishu,567.41,0.337,black/official,Black Market
2024-04-20,Mogadishu,569.58,0.287,black/official,Black Market
2024-04-21,Mogadishu,570.09,0.194,black/official,Black Market
2024-04-22,Mogadishu,570.15,-0.007,black/official,Black Market
2024-04-23,Mogadishu,569.81,-0.234,black/official,Black Market
2024-04-24,Mogadishu,570.32,-0.076,black/official,Black Market
2024-04-25,Mogadishu,569.73,-0.143,black/official,Black Market
2024-04-26,Mogadishu,572.37,0.459,black/official,Black Market
2024-04-27,Mogadishu,572.62,-0.083,black/official,Black Market
2024-04-28,Mogadishu,573.17,0.114,black/official,Black Market
2024-04-29,Mogadishu,577.91,0.667,black/official,Black Market
2024-04-30,Mogadishu,574.87,-0.348,black/official,Black Market
2024-05-01,Mogadishu,576.99,0.268,black/official,Black Market
2024-05-02,Mogadishu,576.21,-0.004,black/official,Black Market
2024-05-03,Mogadishu,573.54,-0.723,black/official,Black Market
2024-05-04,Mogadishu,571.62,-0.287,black/official,Black Market
2024-05-05,Mogadishu,574.01,0.215,black/official,Black Market
2024-05-06,Mogadishu,574.08,0.086,black/official,Black Market
2024-05-07,Mogadishu,575.95,0.195,black/official,Black Market
2024-05-08,Mogadishu,571.86,-0.503,black/official,Black Market
2024-05-09,Mogadishu,571.7,-0.231,black/official,Black Market
2024-05-10,Mogadishu,573.58,0.109,black/official,Black Market
2024-05-11,Mogadishu,572.98,-0.105,black/official,Black Market
2024-05-12,Mogadishu,572.93,0.113,black/official,Black Market
2024-05-13,Mogadishu,574.0,0.172,black/official,Black Market
2024-05-14,Mogadishu,575.04,0.241,black/official,Black Market
2024-05-15,Mogadishu,576.02,0.025,black/official,Black Market
2024-05-16,Mogadishu,575.57,0.034,black/official,Black Market
2024-05-17,Mogadishu,580.47,0.791,black/official,Black Market
2024-05-18,Mogadishu,584.14,0.743,black/official,Black Market
2024-05-19,Mogadishu,584.75,-0.037,black/official,Black Market
2024-05-20,Mogadishu,582.57,-0.287,black/official,Black Market
2024-05-21,Mogadishu,583.1,0.356,black/official,Black Market
2024-05-22,Mogadishu,585.39,0.117,black/official,Black Market
2024-05-23,Mogadishu,587.36,0.195,black/official,Black Market
2024-05-24,Mogadishu,586.28,-0.448,black/official,Black Market
2024-05-25,Mogadishu,585.9,-0.025,black/official,Black Market
2024-05-26,Mogadishu,583.64,-0.583,black/official,Black Market
2024-05-27,Mogadishu,584.43,0.095,black/official,Black Market
2024-05-28,Mogadishu,580.74,-0.546,black/official,Black Market
2024-05-29,Mogadishu,581.52,0.09,black/official,Black Market
2024-05-30,Mogadishu,581.58,0.002,black/official,Black Market
2024-05-31,Mogadishu,579.6,-0.107,black/official,Black Market
2024-06-01,Mogadishu,580.28,0.042,black/official,Black Market
2024-06-02,Mogadishu,583.72,0.365,black/official,Black Market
2024-06-03,Mogadishu,583.75,0.115,black/official,Black Market
2024-06-04,Mogadishu,585.31,0.04,black/official,Black Market
2024-06-05,Mogadishu,590.93,0.703,black/official,Black Market
2024-06-06,Mogadishu,588.67,-0.345,black/official,Black Market
2024-06-07,Mogadishu,591.13,0.219,black/official,Black Market
2024-06-08,Mogadishu,589.97,-0.146,black/official,Black Market
2024-06-09,Mogadishu,590.6,0.36,black/official,Black Market
2024-06-10,Mogadishu,592.26,0.301,black/official,Black Market
2024-06-11,Mogadishu,595.34,0.508,black/official,Black Market
2024-06-12,Mogadishu,597.58,0.33,black/official,Black Market
2024-06-13,Mogadishu,594.14,-0.57,black/official,Black Market
2024-06-14,Mogadishu,594.47,-0.001,black/official,Black Market
2024-06-15,Mogadishu,592.44,-0.438,black/official,Black Market
2024-06-16,Mogadishu,590.65,-0.371,black/official,Black Market
2024-06-17,Mogadishu,591.35,-0.021,black/official,Black Market
2024-06-18,Mogadishu,590.05,-0.151,black/official,Black Market
2024-06-19,Mogadishu,588.32,-0.179,black/official,Black Market
2024-06-20,Mogadishu,585.3,-0.487,black/official,Black Market
2024-06-21,Mogadishu,589.26,0.672,black/official,Black Market
2024-06-22,Mogadishu,591.32,0.175,black/official,Black Market
2024-06-23,Mogadishu,590.91,-0.037,black/official,Black Market
2024-06-24,Mogadishu,589.94,-0.248,black/official,Black Market
2024-06-25,Mogadishu,587.44,-0.093,black/official,Black Market
2024-06-26,Mogadishu,584.32,-0.213,black/official,Black Market
2024-06-27,Mogadishu,585.75,0.198,black/official,Black Market
2024-06-28,Mogadishu,583.87,-0.331,black/official,Black Market
2024-06-29,Mogadishu,580.84,-0.549,black/official,Black Market
2024-06-30,Mogadishu,580.43,-0.064,black/official,Black Market
2024-07-01,Mogadishu,578.22,-0.222,black/official,Black Market
2024-07-02,Mogadishu,579.43,0.076,black/official,Black Market
2024-07-03,Mogadishu,580.68,-0.002,black/official,Black Market
2024-07-04,Mogadishu,586.29,0.817,black/official,Black Market
2024-07-05,Mogadishu,584.06,-0.353,black/official,Black Market
2024-07-06,Mogadishu,585.74,0.48,black/official,Black Market
2024-07-07,Mogadishu,583.43,-0.476,black/official,Black Market
2024-07-08,Mogadishu,581.98,-0.156,black/official,Black Market
2024-07-09,Mogadishu,580.07,-0.203,black/official,Black Market
2024-07-10,Mogadishu,575.65,-0.861,black/official,Black Market
2024-07-11,Mogadishu,574.4,-0.082,black/official,Black Market
2024-07-12,Mogadishu,575.11,0.083,black/official,Black Market
2024-07-13,Mogadishu,575.29,0.175,black/official,Black Market
2024-07-14,Mogadishu,580.75,0.709,black/official,Black Market
2024-07-15,Mogadishu,579.92,-0.227,black/official,Black Market
2024-07-16,Mogadishu,578.15,0.098,black/official,Black Market
2024-07-17,Mogadishu,577.9,0.091,black/official,Black Market
2024-07-18,Mogadishu,575.86,-0.393,black/official,Black Market
2024-07-19,Mogadishu,574.59,-0.226,black/official,Black Market
2024-07-20,Mogadishu,574.04,-0.208,black/official,Black Market
2024-07-21,Mogadishu,576.33,0.185,black/official,Black Market
2024-07-22,Mogadishu,571.91,-0.614,black/official,Black Market
2024-07-23,Mogadishu,572.14,0.131,black/official,Black Market
2024-07-24,Mogadishu,574.46,0.171,black/official,Black Market
2024-07-25,Mogadishu,574.79,0.118,black/official,Black Market
2024-07-26,Mogadishu,573.89,-0.11,black/official,Black Market
2024-07-27,Mogadishu,576.23,0.102,black/official,Black Market
2024-07-28,Mogadishu,576.5,-0.093,black/official,Black Market
2024-07-29,Mogadishu,571.57,-0.707,black/official,Black Market
2024-07-30,Mogadishu,572.96,0.369,black/official,Black Market
2024-07-31,Mogadishu,573.43,0.115,black/official,Black Market
2024-08-01,Mogadishu,575.29,0.312,black/official,Black Market
2024-08-02,Mogadishu,573.31,-0.512,black/official,Black Market
2024-08-03,Mogadishu,575.39,0.178,black/official,Black Market
2024-08-04,Mogadishu,575.97,0.064,black/official,Black Market
2024-08-05,Mogadishu,573.09,-0.379,black/official,Black Market
2024-08-06,Mogadishu,572.83,0.026,black/official,Black Market
2024-08-07,Mogadishu,572.84,-0.12,black/official,Black Market
2024-08-08,Mogadishu,571.47,-0.093,black/official,Black Market
2024-08-09,Mogadishu,570.15,-0.149,black/official,Black Market
2024-08-10,Mogadishu,573.04,0.305,black/official,Black Market
2024-08-11,Mogadishu,570.02,-0.569,black/official,Black Market
2024-08-12,Mogadishu,567.73,-0.622,black/official,Black Market
2024-08-13,Mogadishu,570.34,0.064,black/official,Black Market
2024-08-14,Mogadishu,571.18,0.039,black/official,Black Market
2024-08-15,Mogadishu,571.99,0.077,black/official,Black Market
2024-08-16,Mogadishu,576.9,0.658,black/official,Black Market
2024-08-17,Mogadishu,577.35,0.065,black/official,Black Market
2024-08-18,Mogadishu,575.27,-0.342,black/official,Black Market
2024-08-19,Mogadishu,580.79,0.883,black/official,Black Market
2024-08-20,Mogadishu,580.11,-0.054,black/official,Black Market
2024-08-21,Mogadishu,579.85,0.296,black/official,Black Market
2024-08-22,Mogadishu,576.17,-0.445,black/official,Black Market
2024-08-23,Mogadishu,572.94,-0.521,black/official,Black Market
2024-08-24,Mogadishu,572.22,-0.085,black/official,Black Market
2024-08-25,Mogadishu,573.69,0.282,black/official,Black Market
2024-08-26,Mogadishu,578.35,0.644,black/official,Black Market
2024-08-27,Mogadishu,576.76,-0.351,black/official,Black Market
2024-08-28,Mogadishu,575.28,-0.092,black/official,Black Market
2024-08-29,Mogadishu,575.41,0.001,black/official,Black Market
2024-08-30,Mogadishu,575.42,0.006,black/official,Black Market
2024-08-31,Mogadishu,575.33,-0.039,black/official,Black Market
2024-09-01,Mogadishu,574.8,-0.01,black/official,Black Market
2024-09-02,Mogadishu,575.32,0.486,black/official,Black Market
2024-09-03,Mogadishu,576.05,0.436,black/official,Black Market
2024-09-04,Mogadishu,576.41,0.102,black/official,Black Market
2024-09-05,Mogadishu,572.93,-0.488,black/official,Black Market
2024-09-06,Mogadishu,572.15,-0.125,black/official,Black Market
2024-09-07,Mogadishu,575.1,0.327,black/official,Black Market
2024-09-08,Mogadishu,573.08,-0.244,black/official,Black Market
2024-09-09,Mogadishu,572.44,-0.182,black/official,Black Market
2024-09-10,Mogadishu,571.55,-0.122,black/official,Black Market
2024-09-11,Mogadishu,573.35,0.25,black/official,Black Market
2024-09-12,Mogadishu,575.79,0.576,black/official,Black Market
2024-09-13,Mogadishu,576.71,0.207,black/official,Black Market
2024-09-14,Mogadishu,574.87,-0.577,black/official,Black Market
2024-09-15,Mogadishu,574.72,-0.181,black/official,Black Market
2024-09-16,Mogadishu,575.86,0.46,black/official,Black Market
2024-09-17,Mogadishu,574.79,-0.443,black/official,Black Market
2024-09-18,Mogadishu,570.82,-0.61,black/official,Black Market
2024-09-19,Mogadishu,570.07,-0.19,black/official,Black Market
2024-09-20,Mogadishu,571.99,0.342,black/official,Black Market
2024-09-21,Mogadishu,571.21,-0.126,black/official,Black Market
2024-09-22,Mogadishu,576.09,0.755,black/official,Black Market
2024-09-23,Mogadishu,576.28,0.06,black/official,Black Market
2024-09-24,Mogadishu,573.79,-0.446,black/official,Black Market
2024-09-25,Mogadishu,573.35,0.069,black/official,Black Market
2024-09-26,Mogadishu,577.97,0.7,black/official,Black Market
2024-09-27,Mogadishu,579.32,0.09,black/official,Black Market
2024-09-28,Mogadishu,577.75,-0.345,black/official,Black Market
2024-09-29,Mogadishu,572.98,-0.637,black/official,Black Market
2024-09-30,Mogadishu,572.45,-0.12,black/official,Black Market
2024-10-01,Mogadishu,570.03,-0.213,black/official,Black Market
2024-10-02,Mogadishu,571.96,0.472,black/official,Black Market
2024-10-03,Mogadishu,572.3,-0.33,black/official,Black Market
2024-10-04,Mogadishu,572.65,0.034,black/official,Black Market
2024-10-05,Mogadishu,571.6,-0.2,black/official,Black Market
2024-10-06,Mogadishu,569.06,-0.589,black/official,Black Market
2024-10-07,Mogadishu,570.5,-0.011,black/official,Black Market
2024-10-08,Mogadishu,567.04,-0.545,black/official,Black Market
2024-10-09,Mogadishu,569.13,0.224,black/official,Black Market
2024-10-10,Mogadishu,566.58,-0.617,black/official,Black Market
2024-10-11,Mogadishu,566.96,-0.025,black/official,Black Market
2024-10-12,Mogadishu,569.19,0.377,black/official,Black Market
2024-10-13,Mogadishu,571.23,0.198,black/official,Black Market
2024-10-14,Mogadishu,570.86,-0.158,black/official,Black Market
2024-10-15,Mogadishu,571.9,0.152,black/official,Black Market
2024-10-16,Mogadishu,573.65,0.287,black/official,Black Market
2024-10-17,Mogadishu,572.39,-0.375,black/official,Black Market
2024-10-18,Mogadishu,574.58,0.396,black/official,Black Market
2024-10-19,Mogadishu,576.02,0.328,black/official,Black Market
2024-10-20,Mogadishu,573.63,-0.486,black/official,Black Market
2024-10-21,Mogadishu,573.67,0.079,black/official,Black Market
2024-10-22,Mogadishu,573.27,-0.09,black/official,Black Market
2024-10-23,Mogadishu,576.33,0.506,black/official,Black Market
2024-10-24,Mogadishu,578.31,0.302,black/official,Black Market
2024-10-25,Mogadishu,579.38,0.03,black/official,Black Market
2024-10-26,Mogadishu,581.24,0.424,black/official,Black Market
2024-10-27,Mogadishu,585.54,0.793,black/official,Black Market
2024-10-28,Mogadishu,580.68,-0.575,black/official,Black Market
2024-10-29,Mogadishu,579.6,-0.144,black/official,Black Market
2024-10-30,Mogadishu,576.7,-0.347,black/official,Black Market
2024-10-31,Mogadishu,576.83,-0.011,black/official,Black Market
2024-11-01,Mogadishu,575.27,-0.37,black/official,Black Market
2024-11-02,Mogadishu,577.06,0.344,black/official,Black Market
2024-11-03,Mogadishu,581.12,0.803,black/official,Black Market
2024-11-04,Mogadishu,581.87,0.058,black/official,Black Market
2024-11-05,Mogadishu,578.8,-0.538,black/official,Black Market
2024-11-06,Mogadishu,577.08,-0.214,black/official,Black Market
2024-11-07,Mogadishu,575.95,-0.171,black/official,Black Market
2024-11-08,Mogadishu,578.31,0.495,black/official,Black Market
2024-11-09,Mogadishu,578.68,0.12,black/official,Black Market
2024-11-10,Mogadishu,577.8,0.072,black/official,Black Market
2024-11-11,Mogadishu,576.26,-0.289,black/official,Black Market
2024-11-12,Mogadishu,574.71,-0.212,black/official,Black Market
2024-11-13,Mogadishu,576.72,0.19,black/official,Black Market
2024-11-14,Mogadishu,575.69,-0.06,black/official,Black Market
2024-11-15,Mogadishu,576.65,0.309,black/official,Black Market
2024-11-16,Mogadishu,575.81,-0.178,black/official,Black Market
2024-11-17,Mogadishu,568.11,-1.209,black/official,Black Market
2024-11-18,Mogadishu,568.03,-0.171,black/official,Black Market
2024-11-19,Mogadishu,565.14,-0.576,black/official,Black Market
2024-11-20,Mogadishu,567.27,0.21,black/official,Black Market
2024-11-21,Mogadishu,568.69,0.144,black/official,Black Market
2024-11-22,Mogadishu,571.83,0.376,black/official,Black Market
2024-11-23,Mogadishu,570.94,-0.226,black/official,Black Market
2024-11-24,Mogadishu,570.73,-0.057,black/official,Black Market
2024-11-25,Mogadishu,569.78,-0.24,black/official,Black Market
2024-11-26,Mogadishu,571.04,0.032,black/official,Black Market
2024-11-27,Mogadishu,571.42,0.288,black/official,Black Market
2024-11-28,Mogadishu,569.34,-0.474,black/official,Black Market
2024-11-29,Mogadishu,572.51,0.526,black/official,Black Market
2024-11-30,Mogadishu,574.36,0.088,black/official,Black Market
2024-12-01,Mogadishu,575.56,0.423,black/official,Black Market
2024-12-02,Mogadishu,574.83,-0.154,black/official,Black Market
2024-12-03,Mogadishu,574.26,-0.125,black/official,Black Market
2024-12-04,Mogadishu,575.36,0.419,black/official,Black Market
2024-12-05,Mogadishu,575.65,0.129,black/official,Black Market
2024-12-06,Mogadishu,578.73,0.545,black/official,Black Market
2024-12-07,Mogadishu,574.99,-0.587,black/official,Black Market
2024-12-08,Mogadishu,570.23,-0.504,black/official,Black Market
2024-12-09,Mogadishu,572.38,0.229,black/official,Black Market
2024-12-10,Mogadishu,572.39,0.087,black/official,Black Market
2024-12-11,Mogadishu,570.98,-0.076,black/official,Black Market
2024-12-12,Mogadishu,573.77,0.649,black/official,Black Market
2024-12-13,Mogadishu,575.39,0.314,black/official,Black Market
2024-12-14,Mogadishu,574.12,-0.433,black/official,Black Market
2024-12-15,Mogadishu,575.12,0.178,black/official,Black Market
2024-12-16,Mogadishu,576.2,0.121,black/official,Black Market
2024-12-17,Mogadishu,577.64,0.161,black/official,Black Market
2024-12-18,Mogadishu,578.64,0.069,black/official,Black Market
2024-12-19,Mogadishu,576.55,-0.355,black/official,Black Market
2024-12-20,Mogadishu,576.73,-0.233,black/official,Black Market
2024-12-21,Mogadishu,575.24,-0.255,black/official,Black Market
2024-12-22,Mogadishu,576.38,0.294,black/official,Black Market
2024-12-23,Mogadishu,575.81,-0.095,black/official,Black Market
2024-12-24,Mogadishu,572.85,-0.156,black/official,Black Market
2024-12-25,Mogadishu,573.98,0.359,black/official,Black Market
2024-12-26,Mogadishu,572.01,-0.336,black/official,Black Market
2024-12-27,Mogadishu,576.8,0.841,black/official,Black Market
2024-12-28,Mogadishu,576.39,-0.075,black/official,Black Market
2024-12-29,Mogadishu,574.68,-0.303,black/official,Black Market
2024-12-30,Mogadishu,572.45,-0.347,black/official,Black Market
2024-12-31,Mogadishu,574.96,0.347,black/official,Black Market
2025-01-01,Mogadishu,578.56,0.488,black/official,Black Market
2025-01-02,Mogadishu,582.49,0.628,black/official,Black Market
2025-01-03,Mogadishu,584.83,0.309,black/official,Black Market
2025-01-04,Mogadishu,585.88,0.041,black/official,Black Market
2025-01-05,Mogadishu,589.45,0.711,black/official,Black Market
2025-01-06,Mogadishu,588.9,-0.124,black/official,Black Market
2025-01-07,Mogadishu,587.19,-0.22,black/official,Black Market
2025-01-08,Mogadishu,584.69,-0.35,black/official,Black Market
2025-01-09,Mogadishu,586.47,-0.007,black/official,Black Market
2025-01-10,Mogadishu,585.25,-0.316,black/official,Black Market
2025-01-11,Mogadishu,585.44,0.014,black/official,Black Market
2025-01-12,Mogadishu,584.63,-0.17,black/official,Black Market
2025-01-13,Mogadishu,582.7,-0.087,black/official,Black Market
2025-01-14,Mogadishu,585.32,0.321,black/official,Black Market
2025-01-15,Mogadishu,581.63,-0.418,black/official,Black Market
2025-01-16,Mogadishu,580.22,-0.534,black/official,Black Market
2025-01-17,Mogadishu,582.36,0.373,black/official,Black Market
2025-01-18,Mogadishu,578.62,-0.56,black/official,Black Market
2025-01-19,Mogadishu,582.75,0.511,black/official,Black Market
2025-01-20,Mogadishu,582.98,0.139,black/official,Black Market
2025-01-21,Mogadishu,581.32,-0.187,black/official,Black Market
2025-01-22,Mogadishu,581.73,0.113,black/official,Black Market
2025-01-23,Mogadishu,582.52,0.189,black/official,Black Market
2025-01-24,Mogadishu,578.26,-0.765,black/official,Black Market
2025-01-25,Mogadishu,576.59,-0.124,black/official,Black Market
2025-01-26,Mogadishu,577.16,0.282,black/official,Black Market
2025-01-27,Mogadishu,576.53,-0.16,black/official,Black Market
2025-01-28,Mogadishu,573.2,-0.538,black/official,Black Market
2025-01-29,Mogadishu,572.28,0.028,black/official,Black Market
2025-01-30,Mogadishu,572.82,-0.089,black/official,Black Market
2025-01-31,Mogadishu,576.55,0.525,black/official,Black Market
2025-02-01,Mogadishu,579.3,0.295,black/official,Black Market
2025-02-02,Mogadishu,580.44,0.133,black/official,Black Market
2025-02-03,Mogadishu,580.17,-0.103,black/official,Black Market
2025-02-04,Mogadishu,580.01,-0.023,black/official,Black Market
2025-02-05,Mogadishu,578.88,-0.044,black/official,Black Market
2025-02-06,Mogadishu,577.35,0.029,black/official,Black Market
2025-02-07,Mogadishu,578.03,0.05,black/official,Black Market
2025-02-08,Mogadishu,577.57,0.348,black/official,Black Market
2025-02-09,Mogadishu,576.19,-0.3,black/official,Black Market
2025-02-10,Mogadishu,577.53,0.387,black/official,Black Market
2025-02-11,Mogadishu,577.55,0.097,black/official,Black Market
2025-02-12,Mogadishu,577.36,-0.064,black/official,Black Market
2025-02-13,Mogadishu,579.02,-0.009,black/official,Black Market
2025-02-14,Mogadishu,580.33,0.071,black/official,Black Market
2025-02-15,Mogadishu,581.12,0.07,black/official,Black Market
2025-02-16,Mogadishu,581.44,0.222,black/official,Black Market
2025-02-17,Mogadishu,580.16,-0.264,black/official,Black Market
2025-02-18,Mogadishu,580.32,-0.02,black/official,Black Market
2025-02-19,Mogadishu,582.24,0.119,black/official,Black Market
2025-02-20,Mogadishu,582.58,-0.082,black/official,Black Market
2025-02-21,Mogadishu,585.18,0.361,black/official,Black Market
2025-02-22,Mogadishu,585.76,-0.1,black/official,Black Market
2025-02-23,Mogadishu,585.63,0.125,black/official,Black Market
2025-02-24,Mogadishu,582.22,-0.374,black/official,Black Market
2025-02-25,Mogadishu,581.79,-0.302,black/official,Black Market
2025-02-26,Mogadishu,579.4,-0.218,black/official,Black Market
2025-02-27,Mogadishu,579.16,0.06,black/official,Black Market
2025-02-28,Mogadishu,579.71,-0.235,black/official,Black Market
2025-03-01,Mogadishu,580.8,0.022,black/official,Black Market
2025-03-02,Mogadishu,576.64,-0.478,black/official,Black Market
2025-03-03,Mogadishu,581.93,0.808,black/official,Black Market
2025-03-04,Mogadishu,583.86,0.206,black/official,Black Market
2025-03-05,Mogadishu,583.7,-0.085,black/official,Black Market
2025-03-06,Mogadishu,581.97,-0.257,black/official,Black Market
2025-03-07,Mogadishu,579.41,-0.298,black/official,Black Market
2025-03-08,Mogadishu,580.96,0.064,black/official,Black Market
2025-03-09,Mogadishu,584.67,0.522,black/official,Black Market
2025-03-10,Mogadishu,582.53,-0.334,black/official,Black Market
2025-03-11,Mogadishu,581.07,-0.331,black/official,Black Market
2025-03-12,Mogadishu,580.16,-0.205,black/official,Black Market
2025-03-13,Mogadishu,582.9,0.484,black/official,Black Market
2025-03-14,Mogadishu,582.8,0.045,black/official,Black Market
2025-03-15,Mogadishu,585.56,0.415,black/official,Black Market
2025-03-16,Mogadishu,583.61,-0.238,black/official,Black Market
2025-03-17,Mogadishu,585.66,0.396,black/official,Black Market
