date,city,rent_index,food_index,transport_index,utilities_index,internet_index,total_cost_index
2024-04-01,Mogadishu,120.45,117.13,118.5,121.91,118.17,119.23
2024-04-02,Mogadishu,120.34,117.68,118.33,122.35,117.4,119.22
2024-04-03,Mogadishu,120.96,117.86,118.01,122.48,117.68,119.4
2024-04-04,Mogadishu,120.6,118.63,118.85,123.49,118.41,120.0
2024-04-05,Mogadishu,120.66,119.56,119.96,122.83,117.78,120.16
2024-04-06,Mogadishu,120.83,118.81,120.1,122.18,117.51,119.89
2024-04-07,Mogadishu,121.98,119.36,120.44,122.16,117.19,120.23
2024-04-08,Mogadishu,121.47,118.74,120.89,122.03,116.92,120.01
2024-04-09,Mogadishu,121.36,118.95,120.55,121.41,116.59,119.77
2024-04-10,Mogadishu,121.54,119.3,121.2,121.77,116.44,120.05
2024-04-11,Mogadishu,121.03,118.74,121.51,122.26,115.75,119.86
2024-04-12,Mogadishu,120.95,119.75,121.17,122.61,115.8,120.06
2024-04-13,Mogadishu,122.03,120.75,121.13,123.22,116.14,120.65
2024-04-14,Mogadishu,121.19,121.56,122.39,124.14,115.68,120.99
2024-04-15,Mogadishu,119.6,122.24,122.85,124.81,115.56,121.01
2024-04-16,Mogadishu,118.94,121.82,122.64,125.52,116.09,121.0
2024-04-17,Mogadishu,118.81,121.61,122.95,125.83,115.68,120.97
2024-04-18,Mogadishu,119.93,122.56,122.39,126.84,115.93,121.53
2024-04-19,Mogadishu,119.9,122.61,122.61,126.94,116.39,121.69
2024-04-20,Mogadishu,118.88,121.86,122.07,126.8,116.94,121.31
2024-04-21,Mogadishu,117.92,121.61,121.97,126.62,116.62,120.95
2024-04-22,Mogadishu,118.17,121.86,122.03,126.29,117.84,121.24
2024-04-23,Mogadishu,118.62,122.23,121.89,125.77,117.35,121.17
2024-04-24,Mogadishu,119.19,122.25,121.67,125.46,117.55,121.22
2024-04-25,Mogadishu,118.96,122.07,121.9,125.24,119.25,121.48
2024-04-26,Mogadishu,119.21,121.17,121.78,125.45,118.7,121.26
2024-04-27,Mogadishu,120.09,121.0,122.66,125.64,118.77,121.63
2024-04-28,Mogadishu,119.75,120.21,122.29,125.55,118.38,121.23
2024-04-29,Mogadishu,120.15,120.76,123.0,124.87,118.18,121.39
2024-04-30,Mogadishu,120.9,120.31,121.99,125.71,118.56,121.49
2024-05-01,Mogadishu,121.01,120.19,121.84,125.91,118.2,121.43
2024-05-02,Mogadishu,121.07,120.0,121.83,125.59,117.43,121.18
2024-05-03,Mogadishu,120.89,121.09,122.15,125.6,117.07,121.36
2024-05-04,Mogadishu,120.72,121.63,122.83,125.82,116.45,121.49
2024-05-05,Mogadishu,119.73,121.78,123.65,125.55,116.34,121.41
2024-05-06,Mogadishu,119.89,122.33,124.48,125.78,115.66,121.63
2024-05-07,Mogadishu,119.52,121.14,124.16,125.55,114.7,121.01
2024-05-08,Mogadishu,119.84,121.21,124.29,125.15,115.01,121.1
2024-05-09,Mogadishu,120.16,121.25,124.34,124.44,115.28,121.09
2024-05-10,Mogadishu,119.47,120.29,125.2,123.28,113.71,120.39
2024-05-11,Mogadishu,119.11,120.86,125.54,123.25,113.7,120.49
2024-05-12,Mogadishu,118.37,120.07,126.19,123.43,114.6,120.53
2024-05-13,Mogadishu,118.53,121.21,125.96,122.63,114.29,120.52
2024-05-14,Mogadishu,118.63,122.18,125.12,123.3,113.69,120.58
2024-05-15,Mogadishu,119.0,121.98,126.06,123.07,113.45,120.71
2024-05-16,Mogadishu,117.76,122.51,125.13,123.25,114.68,120.67
2024-05-17,Mogadishu,117.85,122.72,125.5,123.31,114.53,120.78
2024-05-18,Mogadishu,117.32,123.88,125.36,123.39,113.84,120.76
2024-05-19,Mogadishu,116.86,124.0,124.96,123.69,113.7,120.64
2024-05-20,Mogadishu,117.27,124.17,125.86,124.72,113.39,121.08
2024-05-21,Mogadishu,116.69,124.95,125.29,124.4,113.57,120.98
2024-05-22,Mogadishu,117.64,125.42,126.01,124.24,113.65,121.39
2024-05-23,Mogadishu,118.16,124.19,125.9,123.64,113.27,121.03
2024-05-24,Mogadishu,118.54,123.64,126.29,123.77,113.37,121.12
2024-05-25,Mogadishu,119.69,123.14,127.48,122.87,114.54,121.54
2024-05-26,Mogadishu,120.05,123.25,126.47,122.58,113.84,121.24
2024-05-27,Mogadishu,120.16,122.38,125.29,122.21,113.67,120.74
2024-05-28,Mogadishu,120.89,121.97,124.77,122.43,113.93,120.8
2024-05-29,Mogadishu,119.98,122.08,123.62,121.95,114.16,120.36
2024-05-30,Mogadishu,119.24,121.67,122.71,122.69,113.38,119.94
2024-05-31,Mogadishu,119.96,121.02,122.23,122.58,113.83,119.92
2024-06-01,Mogadishu,119.65,121.19,122.35,122.7,113.35,119.85
2024-06-02,Mogadishu,120.05,120.32,122.14,122.67,112.91,119.62
2024-06-03,Mogadishu,120.47,120.05,122.81,121.95,113.01,119.66
2024-06-04,Mogadishu,120.13,119.78,121.94,122.69,112.83,119.47
2024-06-05,Mogadishu,120.23,118.28,122.63,123.24,113.4,119.56
2024-06-06,Mogadishu,120.12,119.71,122.34,123.31,114.52,120.0
2024-06-07,Mogadishu,119.2,119.68,122.55,123.21,114.77,119.88
2024-06-08,Mogadishu,119.0,120.28,122.98,123.9,114.49,120.13
2024-06-09,Mogadishu,119.84,120.88,123.89,123.48,115.67,120.75
2024-06-10,Mogadishu,120.08,121.04,124.49,122.54,116.45,120.92
2024-06-11,Mogadishu,119.25,121.15,124.33,121.84,116.57,120.63
2024-06-12,Mogadishu,118.36,121.24,124.05,121.44,117.52,120.52
2024-06-13,Mogadishu,119.02,121.41,125.05,120.21,117.78,120.69
2024-06-14,Mogadishu,119.31,121.58,126.32,121.44,118.05,121.34
2024-06-15,Mogadishu,118.92,121.68,126.33,121.75,116.28,120.99
2024-06-16,Mogadishu,118.3,121.5,126.19,121.65,115.58,120.64
2024-06-17,Mogadishu,118.17,122.87,126.15,121.18,115.48,120.77
2024-06-18,Mogadishu,118.87,123.65,123.98,120.66,116.21,120.67
2024-06-19,Mogadishu,119.02,122.94,123.65,120.72,115.33,120.33
2024-06-20,Mogadishu,119.78,124.17,123.4,121.11,115.21,120.73
2024-06-21,Mogadishu,119.97,122.47,123.77,120.18,114.14,120.1
2024-06-22,Mogadishu,120.04,123.6,122.9,120.45,114.09,120.22
2024-06-23,Mogadishu,119.93,123.22,122.83,121.03,114.39,120.28
2024-06-24,Mogadishu,119.97,122.79,123.54,120.52,114.3,120.22
2024-06-25,Mogadishu,120.84,122.93,122.86,120.91,113.74,120.26
2024-06-26,Mogadishu,122.21,122.41,123.36,120.49,114.13,120.52
2024-06-27,Mogadishu,122.41,123.27,123.42,119.61,113.65,120.47
2024-06-28,Mogadishu,122.73,123.42,123.5,120.11,112.86,120.52
2024-06-29,Mogadishu,122.94,123.24,123.14,120.41,112.75,120.49
2024-06-30,Mogadishu,123.45,123.34,121.41,119.82,113.27,120.26
2024-07-01,Mogadishu,121.97,123.24,120.61,120.68,113.01,119.9
2024-07-02,Mogadishu,121.44,121.91,120.86,120.88,113.5,119.72
2024-07-03,Mogadishu,121.3,121.98,120.39,121.12,113.67,119.69
2024-07-04,Mogadishu,121.69,121.83,120.69,121.48,113.33,119.81
2024-07-05,Mogadishu,121.76,122.15,121.49,121.56,113.7,120.13
2024-07-06,Mogadishu,122.61,121.36,122.31,120.81,114.01,120.22
2024-07-07,Mogadishu,122.33,121.32,123.0,120.36,113.59,120.12
2024-07-08,Mogadishu,122.32,120.91,122.6,119.81,113.19,119.77
2024-07-09,Mogadishu,121.55,121.26,122.71,119.97,113.01,119.7
2024-07-10,Mogadishu,122.55,120.73,121.64,119.28,113.13,119.47
2024-07-11,Mogadishu,122.21,120.6,120.8,118.87,113.18,119.13
2024-07-12,Mogadishu,121.99,121.01,121.11,118.74,113.99,119.37
2024-07-13,Mogadishu,122.64,121.08,122.19,119.35,113.73,119.8
2024-07-14,Mogadishu,122.31,120.37,121.53,119.93,113.54,119.54
2024-07-15,Mogadishu,123.17,121.85,121.07,119.46,113.37,119.78
2024-07-16,Mogadishu,122.6,121.55,120.93,120.41,113.37,119.77
2024-07-17,Mogadishu,123.17,121.28,121.77,118.8,113.72,119.75
2024-07-18,Mogadishu,122.43,120.77,121.43,119.01,113.95,119.51
2024-07-19,Mogadishu,121.98,121.63,120.9,118.12,114.03,119.33
2024-07-20,Mogadishu,121.97,122.53,120.77,118.35,114.16,119.55
2024-07-21,Mogadishu,122.86,123.82,119.82,118.76,113.33,119.72
2024-07-22,Mogadishu,123.33,123.55,119.07,119.17,113.65,119.75
2024-07-23,Mogadishu,123.44,124.35,118.57,117.94,113.47,119.55
2024-07-24,Mogadishu,123.02,123.71,118.63,118.97,114.9,119.84
2024-07-25,Mogadishu,122.63,122.89,117.98,118.6,114.09,119.24
2024-07-26,Mogadishu,123.22,123.81,117.79,118.8,113.81,119.48
2024-07-27,Mogadishu,124.31,123.81,118.92,118.95,113.92,119.98
2024-07-28,Mogadishu,124.16,124.57,118.68,119.52,114.79,120.34
2024-07-29,Mogadishu,124.04,123.13,118.74,119.91,115.05,120.17
2024-07-30,Mogadishu,123.82,122.88,118.84,119.88,115.03,120.09
2024-07-31,Mogadishu,124.16,122.15,118.82,119.89,114.07,119.82
2024-08-01,Mogadishu,123.99,123.32,119.51,118.07,115.05,119.99
2024-08-02,Mogadishu,124.07,124.03,120.42,118.9,114.73,120.43
2024-08-03,Mogadishu,122.59,123.63,120.96,118.49,114.03,119.94
2024-08-04,Mogadishu,123.5,123.63,120.06,117.14,113.93,119.65
2024-08-05,Mogadishu,123.6,123.13,119.97,116.64,112.84,119.24
2024-08-06,Mogadishu,123.8,124.08,120.16,116.31,112.96,119.46
2024-08-07,Mogadishu,123.2,123.36,119.61,116.4,112.63,119.04
2024-08-08,Mogadishu,122.25,123.56,120.14,115.79,112.87,118.92
2024-08-09,Mogadishu,122.52,123.14,119.91,115.69,112.94,118.84
2024-08-10,Mogadishu,123.15,123.54,120.06,116.2,112.24,119.04
2024-08-11,Mogadishu,123.45,124.98,120.72,115.99,111.57,119.34
2024-08-12,Mogadishu,123.25,125.0,121.1,115.43,111.55,119.26
2024-08-13,Mogadishu,124.34,125.51,120.87,115.65,111.41,119.55
2024-08-14,Mogadishu,124.31,125.14,120.37,116.3,111.57,119.54
2024-08-15,Mogadishu,125.75,124.48,119.96,116.79,111.76,119.75
2024-08-16,Mogadishu,125.06,124.97,118.94,116.22,111.41,119.32
2024-08-17,Mogadishu,125.19,124.53,118.35,117.5,111.97,119.51
2024-08-18,Mogadishu,126.1,123.85,118.17,117.69,111.04,119.37
2024-08-19,Mogadishu,126.31,122.83,118.47,116.98,111.09,119.14
2024-08-20,Mogadishu,125.23,122.41,118.45,116.91,112.27,119.05
2024-08-21,Mogadishu,125.56,122.63,117.59,116.76,111.81,118.87
2024-08-22,Mogadishu,126.69,122.4,117.29,115.77,110.77,118.59
2024-08-23,Mogadishu,126.13,122.21,117.77,116.58,110.52,118.64
2024-08-24,Mogadishu,124.71,122.02,118.2,116.85,110.25,118.4
2024-08-25,Mogadishu,124.98,122.37,116.97,117.3,110.01,118.33
2024-08-26,Mogadishu,125.49,122.0,117.13,118.41,110.19,118.64
2024-08-27,Mogadishu,125.6,123.34,116.29,116.91,109.4,118.31
2024-08-28,Mogadishu,126.1,122.41,116.58,116.82,109.07,118.2
2024-08-29,Mogadishu,126.77,121.09,117.2,115.91,108.97,117.99
2024-08-30,Mogadishu,128.25,121.05,118.13,117.27,108.69,118.68
2024-08-31,Mogadishu,128.37,120.33,117.26,116.36,108.47,118.16
2024-09-01,Mogadishu,128.37,121.19,117.66,116.45,108.88,118.51
2024-09-02,Mogadishu,128.67,120.75,118.16,116.58,109.49,118.73
2024-09-03,Mogadishu,128.59,121.46,118.45,116.97,108.94,118.88
2024-09-04,Mogadishu,128.5,120.62,118.71,116.66,109.12,118.72
2024-09-05,Mogadishu,128.2,121.82,118.97,115.9,109.79,118.94
2024-09-06,Mogadishu,127.99,121.04,119.59,116.09,109.8,118.9
2024-09-07,Mogadishu,127.49,121.01,119.22,116.13,110.03,118.78
2024-09-08,Mogadishu,127.42,120.71,119.64,116.45,109.85,118.81
2024-09-09,Mogadishu,128.31,121.54,119.86,116.42,110.4,119.3
2024-09-10,Mogadishu,129.02,122.14,120.92,115.3,110.58,119.59
2024-09-11,Mogadishu,129.33,121.72,121.49,113.7,109.89,119.23
2024-09-12,Mogadishu,129.8,121.77,121.65,114.42,108.43,119.22
2024-09-13,Mogadishu,129.48,121.78,121.18,113.55,107.99,118.8
2024-09-14,Mogadishu,129.57,121.64,121.16,114.19,108.25,118.96
2024-09-15,Mogadishu,129.63,120.45,121.9,114.37,108.55,118.98
2024-09-16,Mogadishu,129.99,120.42,121.3,114.52,108.91,119.03
2024-09-17,Mogadishu,129.86,120.41,122.05,114.06,109.43,119.16
2024-09-18,Mogadishu,130.94,120.81,123.45,112.93,107.81,119.19
2024-09-19,Mogadishu,130.58,121.39,123.4,112.95,108.33,119.33
2024-09-20,Mogadishu,131.05,121.43,122.31,113.78,108.07,119.33
2024-09-21,Mogadishu,131.23,121.25,122.51,114.18,108.05,119.44
2024-09-22,Mogadishu,130.95,121.44,122.74,113.92,108.57,119.52
2024-09-23,Mogadishu,130.93,121.51,122.66,114.16,108.3,119.51
2024-09-24,Mogadishu,131.08,121.68,122.53,114.46,108.6,119.67
2024-09-25,Mogadishu,129.69,121.45,122.82,114.01,108.63,119.32
2024-09-26,Mogadishu,130.13,122.02,121.79,112.96,108.61,119.1
2024-09-27,Mogadishu,130.22,120.88,121.19,114.29,108.42,119.0
2024-09-28,Mogadishu,129.82,120.98,121.06,114.86,108.16,118.97
2024-09-29,Mogadishu,129.25,120.31,120.74,114.67,108.95,118.79
2024-09-30,Mogadishu,128.85,121.67,120.81,113.37,108.58,118.66
2024-10-01,Mogadishu,129.0,122.29,121.73,112.74,108.22,118.8
2024-10-02,Mogadishu,128.22,122.14,122.54,112.91,108.1,118.78
2024-10-03,Mogadishu,128.53,121.66,123.66,113.35,108.15,119.07
2024-10-04,Mogadishu,127.69,121.29,124.23,113.31,107.25,118.75
2024-10-05,Mogadishu,128.95,120.02,124.16,112.61,108.03,118.75
2024-10-06,Mogadishu,129.73,120.48,123.56,112.03,107.79,118.72
2024-10-07,Mogadishu,129.56,121.77,122.54,112.61,108.1,118.92
2024-10-08,Mogadishu,129.91,122.01,123.93,113.07,108.53,119.49
2024-10-09,Mogadishu,129.75,121.18,123.41,112.72,108.77,119.16
2024-10-10,Mogadishu,129.78,121.13,124.91,112.61,108.51,119.39
2024-10-11,Mogadishu,129.22,120.7,125.2,112.71,108.59,119.28
2024-10-12,Mogadishu,129.92,119.71,125.44,112.4,107.94,119.08
2024-10-13,Mogadishu,129.82,119.94,126.07,112.45,107.68,119.19
2024-10-14,Mogadishu,129.44,120.25,125.96,111.62,106.88,118.83
2024-10-15,Mogadishu,130.65,121.39,125.96,111.6,106.97,119.32
2024-10-16,Mogadishu,130.42,120.98,126.03,111.18,106.18,118.96
2024-10-17,Mogadishu,130.8,120.57,125.65,111.47,106.65,119.03
2024-10-18,Mogadishu,130.72,121.58,125.01,111.72,106.38,119.08
2024-10-19,Mogadishu,129.95,121.75,124.25,112.58,106.19,118.94
2024-10-20,Mogadishu,129.77,121.37,124.23,112.94,106.74,119.01
2024-10-21,Mogadishu,130.31,121.83,123.05,112.11,106.34,118.73
2024-10-22,Mogadishu,128.76,121.01,122.85,112.1,106.35,118.21
2024-10-23,Mogadishu,128.64,119.28,122.68,111.31,105.33,117.45
2024-10-24,Mogadishu,128.77,118.39,121.53,111.78,105.88,117.27
2024-10-25,Mogadishu,130.23,118.26,121.42,111.89,105.79,117.52
2024-10-26,Mogadishu,130.98,118.05,121.23,112.23,106.12,117.72
2024-10-27,Mogadishu,130.08,118.97,120.99,111.76,105.74,117.51
2024-10-28,Mogadishu,130.16,119.15,121.88,111.39,105.83,117.68
2024-10-29,Mogadishu,130.29,119.97,120.77,111.79,105.03,117.57
2024-10-30,Mogadishu,131.18,119.15,120.03,111.57,103.91,117.17
2024-10-31,Mogadishu,130.45,118.33,119.86,111.48,103.71,116.77
2024-11-01,Mogadishu,131.0,119.08,119.4,111.58,103.58,116.93
2024-11-02,Mogadishu,131.07,119.83,119.73,111.04,103.96,117.13
2024-11-03,Mogadishu,130.75,120.11,118.7,109.89,104.91,116.87
2024-11-04,Mogadishu,130.05,119.2,119.06,108.93,105.52,116.55
2024-11-05,Mogadishu,130.15,119.83,118.12,110.03,105.09,116.64
2024-11-06,Mogadishu,130.03,119.86,118.48,110.34,105.74,116.89
2024-11-07,Mogadishu,129.9,120.46,118.61,111.26,105.95,117.23
2024-11-08,Mogadishu,129.51,120.52,118.56,110.77,105.58,116.99
2024-11-09,Mogadishu,129.55,120.19,118.0,110.02,105.53,116.66
2024-11-10,Mogadishu,128.59,121.11,118.17,109.44,106.16,116.69
2024-11-11,Mogadishu,129.2,121.21,118.56,108.73,106.15,116.77
2024-11-12,Mogadishu,129.15,122.12,118.81,109.03,107.04,117.23
2024-11-13,Mogadishu,128.94,122.61,118.92,109.82,106.89,117.44
2024-11-14,Mogadishu,128.79,122.91,119.56,109.62,106.6,117.5
2024-11-15,Mogadishu,128.35,122.63,119.55,109.18,107.34,117.41
2024-11-16,Mogadishu,127.42,122.38,118.87,109.52,107.74,117.19
2024-11-17,Mogadishu,128.09,121.71,117.96,110.89,107.44,117.22
2024-11-18,Mogadishu,127.91,120.54,117.48,111.6,108.17,117.14
2024-11-19,Mogadishu,127.37,120.09,116.52,111.04,108.48,116.7
2024-11-20,Mogadishu,126.48,119.41,116.39,110.07,108.73,116.21
2024-11-21,Mogadishu,127.14,120.35,116.02,109.69,108.12,116.26
2024-11-22,Mogadishu,127.68,120.87,115.45,110.0,107.45,116.29
2024-11-23,Mogadishu,126.87,120.44,116.0,110.32,106.69,116.06
2024-11-24,Mogadishu,126.89,119.74,115.45,111.02,107.14,116.05
2024-11-25,Mogadishu,126.27,120.16,114.92,112.05,107.58,116.2
2024-11-26,Mogadishu,126.21,119.48,114.6,111.55,107.66,115.9
2024-11-27,Mogadishu,125.38,120.01,114.73,111.28,107.24,115.73
2024-11-28,Mogadishu,124.2,119.32,115.27,112.04,107.85,115.74
2024-11-29,Mogadishu,124.91,119.0,114.06,112.14,108.07,115.64
2024-11-30,Mogadishu,125.75,117.48,113.76,112.45,107.69,115.43
2024-12-01,Mogadishu,125.7,117.77,113.42,112.65,106.65,115.24
2024-12-02,Mogadishu,126.09,117.35,112.87,112.37,106.77,115.09
2024-12-03,Mogadishu,126.62,117.06,112.47,111.62,107.08,114.97
2024-12-04,Mogadishu,126.86,116.96,112.01,110.67,107.07,114.71
2024-12-05,Mogadishu,126.5,117.01,111.66,110.78,106.27,114.44
2024-12-06,Mogadishu,126.55,117.05,112.0,110.44,105.07,114.22
2024-12-07,Mogadishu,126.63,117.26,112.68,109.71,105.06,114.27
2024-12-08,Mogadishu,126.95,117.44,112.85,109.65,105.2,114.42
2024-12-09,Mogadishu,125.96,117.22,113.95,109.33,105.22,114.34
2024-12-10,Mogadishu,125.9,117.04,113.53,108.38,106.23,114.22
2024-12-11,Mogadishu,125.81,116.38,114.18,108.29,106.45,114.22
2024-12-12,Mogadishu,126.11,116.57,114.64,108.02,106.5,114.37
2024-12-13,Mogadishu,125.97,115.94,114.49,107.21,106.35,113.99
2024-12-14,Mogadishu,125.78,116.32,113.76,107.14,106.6,113.92
2024-12-15,Mogadishu,125.92,115.76,114.15,107.45,106.13,113.88
2024-12-16,Mogadishu,126.96,117.46,113.76,107.48,106.45,114.42
2024-12-17,Mogadishu,128.2,117.73,114.52,107.07,106.13,114.73
2024-12-18,Mogadishu,128.88,117.47,114.65,107.08,106.83,114.98
2024-12-19,Mogadishu,129.05,118.42,113.19,107.7,107.4,115.15
2024-12-20,Mogadishu,128.68,117.38,113.25,106.68,108.03,114.8
2024-12-21,Mogadishu,128.6,117.44,113.44,106.64,108.22,114.87
2024-12-22,Mogadishu,127.45,118.15,112.65,106.86,108.57,114.73
2024-12-23,Mogadishu,127.43,118.63,112.24,106.61,108.78,114.74
2024-12-24,Mogadishu,126.65,120.02,112.25,106.4,109.22,114.91
2024-12-25,Mogadishu,126.14,119.82,112.18,106.27,109.61,114.8
2024-12-26,Mogadishu,126.18,119.69,112.44,106.42,109.49,114.84
2024-12-27,Mogadishu,126.72,120.0,113.86,105.3,109.84,115.14
2024-12-28,Mogadishu,126.98,120.98,113.22,105.47,109.79,115.29
2024-12-29,Mogadishu,127.08,120.84,113.55,105.54,110.2,115.44
2024-12-30,Mogadishu,126.95,121.44,113.88,105.11,110.25,115.53
2024-12-31,Mogadishu,126.09,121.43,113.6,104.68,110.35,115.23
